"","Row.names","meanPropChange","mean.r","mean.o","meanDiff","sdDiff","medianPropChange","median.r","median.o","medianDiff","nTrue","nValid","modelN","modelEstimate","MLM95lb","MLM95ub","simNum","propNull","propAttenuation","squaredError","absoluteError"
"1","Overall",-0.797932312989514,0.0947735436665025,0.404449028552332,-0.30967548488583,0.249037089289977,-0.848458543488602,0.0434331351662298,0.342828254415394,-0.241847249824555,314,314,305,-0.278255655211976,-0.313086440093117,-0.243424870330834,1,0.5,0.5,0.0887636631232816,0.297932312989514
"2","StatisticalSignificance",-0.432018473333008,0.236969781135063,0.42494867688609,-0.187978895751027,0.14958228836536,-0.439492388078142,0.203129812492862,0.365443754271396,-0.148346899387418,119,311,119,-0.186402889645887,-0.226902528286302,-0.145903251005473,1,0.5,0.5,0.0046214879679749,0.0679815266669917
"3","Nonequivalence",-0.536412236227188,0.197853374941305,0.420816865545623,-0.222963490604317,0.182844613025893,-0.492478058478845,0.16594316324146,0.342828254415394,-0.174819106262024,158,305,158,-0.210464680420716,-0.246683580705998,-0.174245780135433,1,0.5,0.5,0.00132585094706451,0.0364122362271876
"4","bf0repSimBelow3",-0.483898290503305,0.227546119849469,0.415633091127477,-0.188086971278008,0.150415143801936,-0.44160406867824,0.201368939108638,0.365443754271396,-0.16034436570582,121,279,121,-0.157853158227756,-0.184754015697737,-0.130952300757776,1,0.5,0.5,0.000259265048715963,0.0161017094966951
"5","bfrep0SimAbove3",-0.440663293989267,0.250802585704598,0.414425002087032,-0.163622416382434,0.1369447556876,-0.405900251870615,0.208947266925032,0.35976814161682,-0.140530673564686,86,279,86,-0.154892477704719,-0.199988027708025,-0.109796927701413,1,0.5,0.5,0.00352084468020416,0.059336706010733
"6","BF01Below3",-0.5557147384193,0.210382022057004,0.439384035144921,-0.229002013087917,0.246648488032217,-0.459774306478707,0.202311597424712,0.376477950594095,-0.171480763398026,138,306,138,-0.193880071605155,-0.22522493511533,-0.16253520809498,1,0.5,0.5,0.00310413207713101,0.0557147384192999
"7","bf10SimAbove3",-0.476885619051469,0.248241915879591,0.436431465227856,-0.188189549348266,0.143624221313652,-0.439929537564592,0.20931246508619,0.367924620459263,-0.170623851123809,91,306,91,-0.190690508764626,-0.224680098450712,-0.15670091907854,1,0.5,0.5,0.000534274606633816,0.0231143809485311
"8","BF0PBelow3",-0.502862731273946,0.227179145040724,0.439919385931294,-0.212740240890569,0.180316581351637,-0.475704525156159,0.2008519356646,0.37688590118819,-0.170623851123809,143,306,143,-0.188320219175506,-0.219125207226858,-0.157515231124153,1,0.5,0.5,8.19523034682776e-06,0.00286273127394587
"9","BFP0Above3",-0.426536891992129,0.253777414828652,0.433610986943198,-0.179833572114546,0.14021278788155,-0.419911943256247,0.2108830871098,0.367924620459263,-0.148346899387418,97,306,97,-0.181017704758397,-0.213641842908993,-0.1483935666078,1,0.5,0.5,0.00539682823817613,0.0734631080078711
"10","Overall",-0.799638770193006,0.0864596414472126,0.404449028552332,-0.31798938710512,0.242653412957711,-0.847640998750405,0.042561797629935,0.342828254415394,-0.243593353508961,314,314,305,-0.305571941041675,-0.369134936949458,-0.242008945133893,2,0.5,0.5,0.089783392602777,0.299638770193006
"11","StatisticalSignificance",-0.476214366440681,0.207752236554648,0.409161276384232,-0.201409039829584,0.165098082027323,-0.482519196641421,0.16819418364048,0.365443754271396,-0.156969670744795,120,308,119,-0.16310959729316,-0.187105694385909,-0.13911350020041,2,0.5,0.5,0.000565756363818195,0.0237856335593188
"12","Nonequivalence",-0.574141185871972,0.173462181246623,0.419164004041637,-0.245701822795014,0.200577147504695,-0.554998305045245,0.145246886399661,0.364373722235545,-0.200458161869498,160,305,160,-0.210363476070662,-0.276322553795571,-0.144404398345753,2,0.5,0.5,0.00549691544250226,0.0741411858719717
