authorsTitle.o,correlation.o,fis.o,seFish.o,n.o,pValFish.o,pVal.o,testStatistic.o,correlation.r,fis.r,n.r,seFish.r,pValFish.r,pVal.r,testStatistic.r,seDifference.ro,source,abrev,cohenD.o,cohenD.r,seCohenD.r,significant.r,significantSameDirection.r,fisherZDiff.ro,correlationDifference.ro,percentageChangeES.ro,cleanedpVal.r,cleanedpVal.o
A Roelofs-Tracing attention and the activation flow in spoken word planning using eye movements.,0.594605285,0.684760158,0.288675135,15,0.00884416,0.02,"F(1, 13) = 7.11",0.148340453,0.14944312,30,0.19245009,0.218718284,0.435,"F(1,28) = 0.63",0.346944333,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.535317038,-0.446264832,-0.781758447,0.435,0.02
"AL Morris, ML Still-Now you see it, now you don't: repetition blindness for nonwords",0.611120054,0.710707114,0.213200716,25,0.000428785,<0.005,"F(1, 23) = 13.71",0.229604631,0.233772055,25,0.213200716,0.136432608,0.269,"F(1, 23) = 1.28",0.301511345,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.476935059,-0.381515423,-0.671071177,0.269,0.005
"B Liefooghe, P Barrouillet, A Vandierendonck, V Camos-Working memory costs of task switching.",0.424979665,0.453753709,0.208514414,26,0.014772907,<0.05,"F(1, 24) = 5.29",-0.215243835,-0.218663486,33,0.182574186,0.884477095,0.229,"F(1, 31) = 1.506",0.277149047,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.672417194,-0.6402235,-1.48189906,0.229,0.05
"BC Storm, EL Bjork, RA Bjork-Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0.228739615,0.23285909,0.072739297,192,0.000684085,<0.001,"F(1, 190) = 10.49",-0.006108358,-0.006108434,270,0.061199006,0.539753461,0.94,"F(1,268)=.01",0.095059579,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.238967524,-0.234847973,-1.026232319,0.94,0.001
"C Mitchell, S Nash, G Hall-The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0.461300742,0.498962392,0.182574186,33,0.003138688,X,"F(1,31) = 8.38",0.134811802,0.135637525,49,0.147441956,0.178802462,0.335,"F(1, 47) = 0.87",0.23467523,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.363324868,-0.32648894,-0.728160826,0.335,NA
"CJ Berry, DR Shanks, RN Henson-A single-system account of the relationship between priming, recognition, and fluency.",0.594960462,0.68530977,0.213200716,25,0.000653615,0.002,t(23) = 3.55,0.395843475,0.418710421,33,0.182574186,0.010913315,0.023,t(31) = 2.40,0.280691786,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.266599349,-0.199116987,-0.389020208,0.023,0.002
"CP Beaman, I Neath, AM Surprenant-Modeling distributions of immediate memory effects: No strategies needed?",0.715143728,0.897633709,0.101015254,101,3.16E-19,<0.05,t(99) = 10.18,0.131411981,0.132176373,16,0.277350098,0.316834642,0.314,t(14) = 0.496,0.295173099,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.765457336,-0.583731747,-0.852750212,0.314,0.05
"CS Dodson, J Darragh, A Williams-Stereotypes and retrieval-provoked illusory source recollections.",0.561422534,0.634908054,0.166666667,39,6.96E-05,<.001,"F(1, 37) = 17.03",-0.110614348,-0.111068831,33,0.182574186,0.728522,0.54,"F(1, 31) = .384",0.247206616,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.745976885,-0.672036882,-1.174936875,0.54,0.001
"D Ganor-Stern, J Tzelgov-Across-notation automatic numerical processing.",0.698586719,0.864534746,0.19245009,30,3.52E-06,<.001,"F(1, 28) = 26.69",0.780725807,1.047226674,31,0.188982237,1.50E-08,0.001,"F(1, 29) = 45.27",0.269724531,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,0.182691927,0.082139088,0.211318201,0.001,0.001
"D Mirman, JS Magnuson-Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",0.672084167,0.814534581,0.223606798,23,0.000134892,<.001,"F(1, 21) = 17.3",0.466443576,0.505515293,31,0.188982237,0.003737181,0.008,"F (1, 29) = 8.064",0.292770022,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.309019289,-0.205640591,-0.379381423,0.008,0.001
"JE Marsh, F Vachon, DM Jones-When does between-sequence phonological similarity promote irrelevant sound disruption?",0.178477629,0.180409785,NA,94,0.042625442,<.05,"F(2, 92) = 3.13",0.08323764,0.083430681,234,NA,0.102392447,0.1986,"F(2, 232) = 1.63",0.12376597,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.096979105,-0.095239989,-0.537549028,0.1986,0.05
"JI Campbell, ND Robert-Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",0.52450217,0.582530436,NA,70,9.29E-07,<.001,"F(2, 68) = 41.59",0.524539034,0.582581291,70,NA,9.27E-07,0.0001,"F(2, 68) = 41.603",0.172773685,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,5.09E-05,3.69E-05,8.73E-05,1.00E-04,0.001
"JR Schmidt, D Besner-The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",0.195136354,0.197671341,0.103695169,96,0.028307373,0.028,t(94) = 1.929,0.24687812,0.252085564,243,0.064549722,4.71E-05,0.0001,t(241) = 3.955,0.122144811,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,0.054414223,0.051741766,0.275276237,1.00E-04,0.028
K Fiedler-The ultimate sampling dilemma in experience-based decision making.,0.304772411,0.314772324,NA,78,0.003205269,<.001,"F(2, 76) = 8.67",0.434510306,0.465443374,74.4,0.118345267,4.20E-05,0.00003,"F(1.58, 72.4) = 19.48",0.165344899,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,0.15067105,0.129737895,0.478666765,3.00E-05,0.001
K Oberauer-How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.,0.560499145,0.633560676,0.182574186,33,0.000260079,<.001,"F(1, 31) = 14.2",0.401939168,0.425959601,21,0.23570226,0.035366054,0.071,"F(1,19)=3.661",0.298142397,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.207601074,-0.158559977,-0.327673548,0.071,0.001
"L Sahakyan, PF Delaney, ER Waldum-Intentional forgetting is easier after two ""shots"" than one.",0.224092029,0.227960364,0.103695169,96,0.01396137,<.05,"F(1,94) = 4.97",0.019422053,0.019424496,108,0.097590007,0.421115004,0.84,"F(1, 106) = 0.04",0.142395568,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.208535868,-0.204669976,-0.914790031,0.84,0.05
"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel-How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",0.219359299,0.22298292,NA,95,0.016226865,0.002,"F(3, 93) = 5.23",0.064661345,0.06475169,92,NA,0.270644074,0.72,"F(2.33, 90) = .38",0.148679253,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.15823123,-0.154697954,-0.709611436,0.72,0.002
