"authorsTitle.o","correlation.o","fis.o","seFish.o","n.o","pValFish.o","pVal.o","testStatistic.o","correlation.r","fis.r","n.r","seFish.r","pValFish.r","pVal.r","testStatistic.r","seDifference.ro","source","abrev","cohenD.o","seCohenD.o","cohenD.r","seCohenD.r","significant.r","significantSameDirection.r","fisherZDiff","correlationDifference.ro","percentageChangeES.ro","cleanedpVal.r","cleanedpVal.o","seFishAprox.r","seFishAprox.o","cohensD.r","cohensD.o","bf10","bf01","bfplus0","bf0plus","bfRep0","bf0Rep","statisticallyEquiv.ro","normalisedpVal.r","minDetectableZ","probRealEffect","trueRepEffect","probH1Original","probH1decrease","probH0True","mostLikelyClass"
"A Roelofs-Tracing attention and the activation flow in spoken word planning using eye movements.",0.594605285,0.684760158473966,0.288675134594813,15,0.00884415961730206,"0.02","F(1, 13) = 7.11",0.148340453,0.149443120256283,30,0.192450089729875,0.218718284096767,"0.435","F(1,28) = 0.63",0.346944333244355,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.535317038217683,-0.446264832,-0.781758447235998,0.435,0.0199999999999998,0.192450089729875,0.288675134594813,0.3,1.48,0.303958172396308,3.28992634781399,0.471495477053183,2.1209111193387,0.312307191614379,3.20197557677362,TRUE,0.720213673545875,0.474828342148982,0.7952125,0.222811643774935,0.279,0.619875,0.101125,"H1 attenuated"
"AL Morris, ML Still-Now you see it, now you don't: repetition blindness for nonwords",0.611120054,0.710707113969394,0.21320071635561,25,0.000428785095705173,"<0.005","F(1, 23) = 13.71",0.229604631,0.233772054589965,25,0.21320071635561,0.136432607757179,"0.269","F(1, 23) = 1.28",0.301511344577764,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.476935059379429,-0.381515423,-0.671071176867336,0.269,0.05,0.21320071635561,0.21320071635561,0.47,1.54,0.442031389998546,2.26228277589808,0.75668909543313,1.32154673040134,0.462330295501416,2.16295581260895,FALSE,0.545273676341471,0.350683971566178,0.85338,0.330928469115238,0.2657,0.656125,0.078175,"H1 attenuated"
"B Liefooghe, P Barrouillet, A Vandierendonck, V Camos-Working memory costs of task switching.",0.424979665,0.453753708518042,0.208514414057075,26,0.0147729074603485,"<0.05","F(1, 24) = 5.29",-0.215243835,-0.218663485593077,33,0.182574185835055,0.884477094713362,"0.229","F(1, 31) = 1.506",0.277149046909598,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.67241719411112,-0.6402235,-1.48189905997073,0.229,0.001,0.182574185835055,0.208514414057075,-0.44,0.94,0.433278773509792,2.30798289955324,0.10521439212556,9.50440315053695,0.0869965000560551,11.4947152972322,TRUE,0.498990579368394,0.342975690233441,0.6198725,-0.0424994194911995,0.2262,0.549725,0.224075,"H1 attenuated"
"BC Storm, EL Bjork, RA Bjork-Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0.228739615,0.232859089732106,0.0727392967453308,192,0.000684084913915793,"<0.001","F(1, 190) = 10.49",-0.006108358,-0.00610843397346169,270,0.0611990061362105,0.539753460993407,"0.94","F(1,268)=.01",0.0950595794387142,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.238967523705568,-0.234847973,-1.02623231921283,0.94,NA,0.0611990061362105,0.0727392967453308,-0.01,0.47,0.0765828316730447,13.057756916972,0.0705106836813236,14.1822479628697,0.0288460310925915,34.6668141897978,TRUE,1.32332926362445,0.119645496073457,0.8120925,0.0102811186022096,0.314425,0.56895,0.116625,"H1 attenuated"
"C Mitchell, S Nash, G Hall-The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0.461300742,0.498962392476004,0.182574185835055,33,0.00313868762810438,"X","F(1,31) = 8.38",0.134811802,0.135637524870972,49,0.147441956154897,0.178802461779228,"0.335","F(1, 47) = 0.87",0.234675230410276,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.363324867605032,-0.32648894,-0.728160825512525,0.335,0.05,0.147441956154897,0.182574185835055,0.27,1.04,0.269556360162081,3.70979931394945,0.440629599938736,2.26947985368899,0.341248474206326,2.93041603285054,FALSE,0.617246375820458,0.300307811758503,0.831635,0.18942310799276,0.29105,0.617775,0.091175,"H1 attenuated"
"CJ Berry, DR Shanks, RN Henson-A single-system account of the relationship between priming, recognition, and fluency.",0.594960462,0.685309769582024,0.21320071635561,25,0.000653615088476846,"0.002","t(23) = 3.55",0.395843475,0.418710420698763,33,0.182574185835055,0.0109133151613179,"0.023","t(31) = 2.40",0.280691786106895,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,-0.266599348883262,-0.199116987,-0.389020207673185,0.0229999999999998,0.00199999999999978,0.182574185835055,0.21320071635561,0.86,1.48,2.61434952800278,0.382504324417534,5.15846266367687,0.193856205850139,6.77352173879792,0.147633688731243,FALSE,0.152244963364138,0.350683971566178,0.960785,0.448562398224803,0.41735,0.562075,0.020575,"H1 attenuated"
"CP Beaman, I Neath, AM Surprenant-Modeling distributions of immediate memory effects: No strategies needed?",0.715143728,0.897633709106095,0.101015254455221,101,3.16399026861297e-19,"<0.05","t(99) = 10.18",0.131411981,0.132176372921613,16,0.277350098112615,0.316834641640954,"0.314","t(14) = 0.496",0.295173099309083,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.765457336184482,-0.583731747,-0.852750212496765,0.314,0.001,0.277350098112615,0.101015254455221,0.27,2.05,0.3439059411122,2.90777180750636,0.465160559209535,2.14979533453855,0.0334072265044098,29.9336432453619,FALSE,0.59481680091305,0.166155307668096,0.64429,0.351296963977635,0.098275,0.733375,0.16835,"H1 attenuated"
"CS Dodson, J Darragh, A Williams-Stereotypes and retrieval-provoked illusory source recollections.",0.561422534,0.634908053973584,0.166666666666667,39,6.96386058780426e-05,"<.001","F(1, 37) = 17.03",-0.110614348,-0.111068831072181,33,0.182574185835055,0.728521999545745,"0.54","F(1, 31) = .384",0.247206616236522,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.745976885045765,-0.672036882,-1.1749368753114,0.54,0.001,0.182574185835055,0.166666666666667,-0.22,1.36,0.25924128255804,3.85741032497831,0.14305998407013,6.99007487313705,0.0125447548070924,79.7145911082005,TRUE,0.825440953414278,0.274142271158579,0.4543125,0.0353010570890699,0.08815,0.59915,0.3127,"H1 attenuated"
"D Ganor-Stern, J Tzelgov-Across-notation automatic numerical processing.",0.698586719,0.864534746467758,0.192450089729875,30,3.52365977521457e-06,"<.001","F(1, 28) = 26.69",0.780725807,1.04722667369848,31,0.188982236504614,1.50029152074859e-08,"0.001","F(1, 29) = 45.27",0.269724531237562,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,0.18269192723072,0.082139088,0.211318200890302,0.000999999999999778,0.05,0.188982236504614,0.192450089729875,2.5,1.95,79482.8903583058,1.25813240496419e-05,158965.738314868,6.29066370276136e-06,403500.830336862,2.47830964601771e-06,FALSE,0.0316280494375682,0.316552228099322,0.99993,0.894696917660658,0.90475,0.09525,0,"H1 original effect"
"D Mirman, JS Magnuson-Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",0.672084167,0.814534581372408,0.223606797749979,23,0.000134891682331473,"<.001","F(1, 21) = 17.3",0.466443576,0.505515292648616,31,0.188982236504614,0.00373718147154324,"0.008","F (1, 29) = 8.064",0.29277002188456,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,-0.309019288723792,-0.205640591,-0.379381423196454,0.00799999999999978,0.001,0.188982236504614,0.223606797749979,1.05,1.82,6.31250471426437,0.158415723277053,12.5593751024058,0.0796217958175679,15.8069097788106,0.063263472367035,FALSE,0.0895624074394437,0.367800452290057,0.97619,0.542027547604936,0.4184,0.568875,0.012725,"H1 attenuated"
"JE Marsh, F Vachon, DM Jones-When does between-sequence phonological similarity promote irrelevant sound disruption?",0.178477629,0.180409785295794,0.104828483672192,94,0.0426254423285775,"<.05","F(2, 92) = 3.13",0.08323764,0.0834306805876074,234,0.0657951694959769,0.102392446879875,"0.1986","F(2, 232) = 1.63",0.123765969951418,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.0969791047081862,-0.095239989,-0.537549027893263,0.1986,0.001,0.0657951694959769,0.104828483672192,0.17,0.36,0.182089305436282,5.49181072223885,0.326579581410929,3.06204079164924,0.902610569680722,1.10789750706523,FALSE,0.461895302482502,0.172427511576028,0.8819825,0.0878120154266977,0.43685,0.495375,0.067775,"H1 attenuated"
"JI Campbell, ND Robert-Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",0.52450217,0.582530435743512,0.122169444356305,70,9.29317094924387e-07,"<.001","F(2, 68) = 41.59",0.524539034,0.582581291188142,70,0.122169444356305,9.27399233525307e-07,"0.0001","F(2, 68) = 41.603",0.172773685116272,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,5.08554446300158e-05,3.68640000000253e-05,8.7300922852394e-05,9.9999999999778e-05,0.001,0.122169444356305,0.122169444356305,1.23,1.23,6208.22185182834,0.00016107671791811,12416.4168596221,8.05385330813094e-05,39897.6037107466,2.50641619293704e-05,FALSE,0.010000166674156,0.200950853652115,0.996605,0.548677200200491,0.72545,0.2732,0.00135,"H1 original effect"
"JR Schmidt, D Besner-The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",0.195136354,0.197671341200697,0.103695169473043,96,0.0283073730474572,"0.028","t(94) = 1.929",0.24687812,0.252085564199444,243,0.0645497224367903,4.70556890514116e-05,"0.0001","t(241) = 3.955",0.122144810936485,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,0.0544142229987463,0.051741766,0.27527623715316,9.9999999999778e-05,0.0279999999999998,0.0645497224367903,0.103695169473043,0.51,0.4,147.541933983612,0.00677773411937975,295.068009937129,0.00338904918975484,925.317337368832,0.00108071032457203,FALSE,0.010000166674156,0.170563375605082,0.94354,0.240896009909505,0.562275,0.4087,0.029025,"H1 original effect"
