Authors,study,sref,type_os,stat_os,n_os,in_os,r_os,r95l_os,r95u_os,r33_os,rr33_os,p_os,type_rs1,stat_rs1,n_rs1,in_rs1,r_rs1,r95l_rs1,r95u_rs1,r90l_rs1,r90u_rs1,rr_rs1,rr95l_rs1,rr95u_rs1,rr90l_rs1,rr90u_rs1,rm_rs1,rm95l_rs1,rm95u_rs1,rrm_rs1,rrm95l_rs1,rrm95u_rs1,rp95l_rs1,rp95u_rs1,rrp95l_rs1,rrp95u_rs1,p_rs1,pm_rs1,pow_rs1,rep_sr_rs1,rep_mr_rs1,rep_st_rs1,rep_pi_rs1,type_rs2,stat_rs2,n_rs2,in_rs2,r_rs2,r95l_rs2,r95u_rs2,r90l_rs2,r90u_rs2,rr_rs2,rr95l_rs2,rr95u_rs2,rr90l_rs2,rr90u_rs2,rm_rs2,rm95l_rs2,rm95u_rs2,rrm_rs2,rrm95l_rs2,rrm95u_rs2,rp95l_rs2,rp95u_rs2,rrp95l_rs2,rrp95u_rs2,p_rs2,pm_rs2,pow_rs2,rep_sr_rs2,rep_mr_rs2,rep_st_rs2,rep_pi_rs2,type_rp,stat_rp,n_rp,in_rp,r_rp,r95l_rp,r95u_rp,r90l_rp,r90u_rp,rr_rp,rr95l_rp,rr95u_rp,rr90l_rp,rr90u_rp,rm_rp,rm95l_rp,rm95u_rp,rrm_rp,rrm95l_rp,rrm95u_rp,rp95l_rp,rp95u_rp,rrp95l_rp,rrp95u_rp,bfP0_rp,bfR0_rp,ar_rp,p_rp,pm_rp,pow_rp,rep_sr_rp,rep_mr_rp,rep_st_rp,rep_pi_rp,rep_bf_rp
" 1 ""Ackerman et al. (2010), Science""",1,-36,"F(1,52)",4.0799999,54,54,0.26972803,0.002120639,0.50128454,0.20909999,0.77522528,0.048559953,t(257),2.2772999,259,259,0.14064212,0.019080529,0.25810617,0.03875782,0.23963228,0.52142197,0.07073988,0.95691264,0.14369223,0.88842183,0.16255081,0.052097365,0.2690753,0.60264707,0.19314776,0.99758005,-0.023971781,0.52056712,-0.088873893,1.9299704,0.023590369,0.004110573,0.90141374,1,1,1,1,t(597),1.5351,599,599,0.062703826,-0.017495269,0.14210123,-0.004589599,0.1294319,0.23247056,-0.064862624,0.52683151,-0.017015653,0.47986078,0.079469889,0.00258368,0.15542205,0.29462969,0.009578832,0.57621765,-0.009380489,0.50984609,-0.034777582,1.8902228,0.12528904,0.042826626,0.90379256,0,1,0,1,t(597),1.5351,599,599,0.062703826,-0.017495269,0.14210123,-0.004589599,0.1294319,0.23247056,-0.064862624,0.52683151,-0.017015653,0.47986078,0.079469889,0.00258368,0.15542205,0.29462969,0.009578832,0.57621765,-0.009380489,0.50984609,-0.034777582,1.8902228,0.54000002,0.31,0.50986701,0.12528904,0.042826626,0.90379256,0,1,0,1,0
" 2 ""Aviezer et al. (2012), Science""",2,-37,t(14),13.07,15,15,0.9613806,0.88492548,0.98737931,0.4041,0.420333,3.10E-09,t(13),5.342,14,14,0.82887018,0.53245419,0.94420552,0.59706485,0.93292093,0.86216652,0.55384326,0.982135,0.6210494,0.97039711,0.92031962,0.82821655,0.96401292,0.95728958,0.86148667,1.0027381,0.81632107,0.99236184,0.84911335,1.0322257,0.000133822,2.86E-11,0.93026948,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t(13),5.342,14,14,0.82887018,0.53245419,0.94420552,0.59706485,0.93292093,0.86216652,0.55384326,0.982135,0.6210494,0.97039711,0.92031962,0.82821655,0.96401292,0.95728958,0.86148667,1.0027381,0.81632107,0.99236184,0.84911335,1.0322257,446,57,1,0.000133822,2.86E-11,0.93026948,1,1,1,1,1
" 3 ""Balafoutas and Sutter (2012), Science""",3,-38,Chi2(1),5.6199999,72,72,0.27788922,0.049401011,0.47873753,0.18080001,0.65061897,0.017756648,Chi2(1),5.2199001,243,243,0.14641742,0.020959193,0.26733595,0.041279078,0.24834874,0.52689135,0.075422838,0.96202344,0.14854509,0.8936969,0.17640921,0.066676594,0.28192547,0.63481849,0.23993948,1.0145247,0.017661281,0.50285739,0.063555114,1.8095607,0.022329835,0.001759591,0.89756858,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chi2(1),5.2199001,243,243,0.14641742,0.020959193,0.26733595,0.041279078,0.24834874,0.52689135,0.075422838,0.96202344,0.14854509,0.8936969,0.17640921,0.066676594,0.28192547,0.63481849,0.23993948,1.0145247,0.017661281,0.50285739,0.063555114,1.8095607,4.1999998,4.27,0.84761101,0.022329835,0.001759591,0.89756858,1,1,1,1,1
" 4 ""Derex et al. (2013), Nature""",4,-39,Chi2(1),16.299999,51,366,0.52465248,0.29116744,0.69914919,0.21520001,0.41017628,5.4064E-05,Chi2(1),8.8337002,65,482,0.36050302,0.12784484,0.55555427,0.16698864,0.52727306,0.68712723,0.24367528,1.0588995,0.31828427,1.0049949,0.43580297,0.2730557,0.57429844,0.83065075,0.52045059,1.0946264,0.20306087,0.74407727,0.3870388,1.4182289,0.002957182,1.40E-06,0.90202659,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chi2(1),8.8337002,65,482,0.36050302,0.12784484,0.55555427,0.16698864,0.52727306,0.68712723,0.24367528,1.0588995,0.31828427,1.0049949,0.43580297,0.2730557,0.57429844,0.83065075,0.52045059,1.0946264,0.20306087,0.74407727,0.3870388,1.4182289,3144,3701,0.98786098,0.002957182,1.40E-06,0.90202659,1,1,1,1,1
" 5 ""Duncan et al. (2012), Science""",5,-40,t(14),3.4100001,15,15,0.67359084,0.24632318,0.88163918,0.4041,0.59991908,0.00422795,t(35),1.0997,36,36,0.18275274,-0.15509503,0.48232904,-0.10115603,0.43913716,0.27131119,-0.23025109,0.71605641,-0.15017429,0.65193456,0.33946231,0.061233781,0.56874031,0.50395924,0.090906493,0.84434092,0.15531653,0.90109098,0.23057993,1.3377423,0.27896959,0.018253516,0.908764,0,1,1,1,t(91),4.6276002,92,92,0.43645984,0.25438288,0.5886547,0.28534845,0.56639791,0.64795989,0.37765193,0.87390542,0.42362282,0.84086341,0.46945155,0.3043828,0.6071471,0.69693875,0.45188084,0.9013589,0.21132423,0.88960266,0.31372789,1.3206869,1.2224E-05,4.98E-07,0.90620846,1,1,1,1,t(91),4.6276002,92,92,0.43645984,0.25438288,0.5886547,0.28534845,0.56639791,0.64795989,0.37765193,0.87390542,0.42362282,0.84086341,0.46945155,0.3043828,0.6071471,0.69693875,0.45188084,0.9013589,0.21132423,0.88960266,0.31372789,1.3206869,2682,2513,0.99628001,1.2224E-05,4.98E-07,0.90620846,1,1,1,1,1
" 6 ""Gervais and Norenzayan (2012), Science""",6,-41,t(55),2.24,57,57,0.28914034,0.030900771,0.51119429,0.2034,0.70346463,0.029151877,t(222),-0.81529999,224,224,-0.054801457,-0.1845585,0.0768333,-0.16400656,0.055730607,-0.18953238,-0.63830072,0.26573011,-0.56722128,0.19274586,0.014357705,-0.10346005,0.13177812,0.049656525,-0.3578195,0.45575833,0.000104326,0.5335905,0.000360815,1.8454378,0.41577443,0.81162947,0.9016934,0,0,0,0,t(529),-0.81529999,531,531,-0.035470117,-0.12019756,0.049770325,-0.10666081,0.036082391,-0.1226744,-0.41570666,0.17213207,-0.36888939,0.12479196,-0.004577586,-0.085610665,0.076515652,-0.015831709,-0.29608688,0.26463154,0.017601795,0.52095693,0.060876302,1.8017442,0.41526753,1.0879701,0.91002929,0,0,0,0,t(529),-0.81529999,531,531,-0.035470117,-0.12019756,0.049770325,-0.10666081,0.036082391,-0.1226744,-0.41570666,0.17213207,-0.36888939,0.12479196,-0.004577586,-0.085610665,0.076515652,-0.015831709,-0.29608688,0.26463154,0.017601795,0.52095693,0.060876302,1.8017442,0.059999999,0.029999999,0.21211299,0.41526753,1.0879701,0.91002929,0,0,0,0,0
" 7 ""Gneezy et al. (2014), Science""",7,-42,z,3,178,178,0.2229694,0.078457758,0.3583034,0.1147,0.51442033,0.002699796,z,3.7063999,407,407,0.18233825,0.086670443,0.27467388,0.10220762,0.26011786,0.81777257,0.38871005,1.2318904,0.45839301,1.1666079,0.19469154,0.11524138,0.27166656,0.87317604,0.51684839,1.2184029,0.04936954,0.38349226,0.22141846,1.7199323,0.000210226,2.22E-06,0.92174101,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,3.7063999,407,407,0.18233825,0.086670443,0.27467388,0.10220762,0.26011786,0.81777257,0.38871005,1.2318904,0.45839301,1.1666079,0.19469154,0.11524138,0.27166656,0.87317604,0.51684839,1.2184029,0.04936954,0.38349226,0.22141846,1.7199323,231.89999,485.26999,0.914428,0.000210226,2.22E-06,0.92174101,1,1,1,1,1
" 8 ""Hauser et al. (2014), Nature""",8,-43,t(38),8.6960001,40,200,0.81581438,0.67613339,0.89888632,0.24339999,0.29835218,1.43E-10,t(20),6.7082,22,110,0.83205014,0.63222629,0.92808646,0.67365634,0.91736203,1.0199013,0.77496338,1.1376196,0.82574707,1.1244739,0.82147515,0.7160182,0.89027464,1.0069388,0.87767291,1.091271,0.53061098,0.93507695,0.65040648,1.1461884,1.58E-06,1.58E-15,0.91878766,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t(20),6.7082,22,110,0.83205014,0.63222629,0.92808646,0.67365634,0.91736203,1.0199013,0.77496338,1.1376196,0.82574707,1.1244739,0.82147515,0.7160182,0.89027464,1.0069388,0.87767291,1.091271,0.53061098,0.93507695,0.65040648,1.1461884,2889,10211,0.99999797,1.58E-06,1.58E-15,0.91878766,1,1,1,1,1
" 9 ""Janssen et al. (2010), Science""",9,-44,z,5.7610002,63,105,0.63140059,0.45478103,0.76023519,0.1934,0.30630317,8.36E-09,z,2.2383001,42,70,0.34381703,0.044539947,0.5864647,0.094742462,0.55238158,0.54453075,0.070541501,0.9288314,0.15005128,0.87485123,0.53129399,0.37563053,0.65780252,0.84145314,0.59491634,1.0418149,0.32801306,0.81671906,0.51950073,1.2935038,0.025201498,9.19E-09,0.90232056,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,2.2383001,42,70,0.34381703,0.044539947,0.5864647,0.094742462,0.55238158,0.54453075,0.070541501,0.9288314,0.15005128,0.87485123,0.53129399,0.37563053,0.65780252,0.84145314,0.59491634,1.0418149,0.32801306,0.81671906,0.51950073,1.2935038,5.8600001,0,0.967309,0.025201498,9.19E-09,0.90232056,1,1,1,1,1
"10 ""Karpicke and Blunt (2011), Science""",10,-45,"F(1,38)",21.629999,40,40,0.60227638,0.35791767,0.76942945,0.24339999,0.40413338,3.92687E-05,t(48),2.8824999,49,49,0.38413259,0.11540128,0.60046852,0.16096595,0.56992996,0.63780117,0.19160852,0.99699825,0.26726261,0.94629306,0.48918161,0.30937123,0.63521934,0.81222111,0.51366985,1.0546974,0.25793189,0.81085891,0.42826167,1.3463236,0.005886077,1.76E-06,0.92212439,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t(48),2.8824999,49,49,0.38413259,0.11540128,0.60046852,0.16096595,0.56992996,0.63780117,0.19160852,0.99699825,0.26726261,0.94629306,0.48918161,0.30937123,0.63521934,0.81222111,0.51366985,1.0546974,0.25793189,0.81085891,0.42826167,1.3463236,14.55,11.82,0.98887002,0.005886077,1.76E-06,0.92212439,1,1,1,1,1
